sentiment,review_body,product_category
-1,This is a great top but it is really big. i have a similar top from the same brand and the size small fits as expected. this top is easily 2 inches wider everywhere. i would love to exchange it for an extra small  but am afraid that even that size would be too large. the blue pattern is beautiful and the fabric is light and airy  which is perfect for warm days  but the size issue is out of control!,Blouses
-1,I'm sure there's someone out there who will look good in this but it certainly wasn't me. admittedly  i'm a less than ideal body type at a curvy 5' tall. still for a taller person this shirt runs short  for a curvy person this does nothing to accentuate a waist  for a short person this pattern is very busy even if the colors are beautiful  for a busty person the gathers around the chest make for a very frumpy look  and even for a short and thin person this shirt runs too big to get a good fit. c,Blouses
-1,I'm 5' 7 and bough a size 8 regular. this is so short that if you wear with jeans you can see a midriff. cute pattern  but i'm returning it.,Blouses
-1,"This top was just not flattering. i'm 5'8"" and medium build  and the m was very bulky and the fabric didn't fall in the right places. made me look very round and i'm not  so it's definitely going back!",Blouses
-1,I tried on this top and it looked fine until i tried to move. you can't lift your arms. i tried on a larger size but still felt like the movement was limited in the back and arm areas.,Blouses
-1,Like the previous review said  i was excited to receive this top. i had grand visions of all the ways i could wear it! to my chagrin  when i put it on  it just fell right down and pooled around my waist. i wish there were smaller sizes to order. sadly  this is going back.,Blouses
-1,I liked the design and i didn't mind that is see through  but i couldn't put it on ! not size 8 what is my usual size   not size 10 or 12  even 14! my shoulders wouldn't go through the middle part and it is not stretchy   so disappointed. i really wanted to like it.,Blouses
-1,I initially liked the feel and quality of the top but once it was on it was much shorter and looser than the picture of the model. it flowed out from my chest with one central pleat in the front and my husband said it made me look pregnant. then came the tedious task of taking it off with such a snug fit in the shoulders. i'm regularly a size 2/xs  32d and 120 lbs and both size 2 and 4 did not work for me.,Blouses
-1,I love maeve and was so excited for this top which looked like an update from a last season favorite. unfortunately the fabric was stiff  it was tight in the chest and went straight down from there. returned.,Blouses
0,This is a beautiful top but the fit is odd. it's roomy and flowy in the bust and waist but the arms are disproportionately tight. i wear a size 8 in all hd in paris tops but this one didn't fit anything like the others. i wouldn't even know what size to recommend because it's almost too big in the body  while being too tight in the arms. the lace and mock neck is beautiful though so i'm hoping to find someway to wear it comfortably. otherwise  it will be going back.,Blouses
0,I had high hopes for this top  as it looked great online. unfortunately it was much more ruffly in person and not my style at all. it was a lot of fabric and poofed out too much -- reminded me of a child's top. sad to return it!,Blouses
0,This shirt is really cute but a little stiff. it does come with a slip  but the slip was tight  but the shirt fit  maybe even a little big. i used another cami under which was better. i think think the sizing is off in terms of slip vs. the actual shirt. i got it in the store with the 30% off  so it was a good deal. it does stretch out as you wear it  so it will get bigger and it did make me look a little bigger  but still cute on and for a summer shirt  it's thin  so it does work well in that r,Blouses
0,Fabric was a little more shear than i thought it would be - while not a big deal - it was missing a few of the silver beads along the front line of the top. returned,Blouses
0,This top runs small across the top. i was amazed at the material--polyester  i am sure--because the price was so high. it has a sheer layer underneath  which i think would make it hot in the summer. i love this kind of tank but it just did not look as good as it does online.,Blouses
0,I think this top would have been amazing if it was in a jersey or cotton club but the gauzey fabric is so wrinkly and so sheer i don't know how i would use this top. i don't mind most of the slightly sheer retailer tops (if people see my bra slightly so be it) but this is really sheer  unless you are madonna you are going to want to wear something under this  and in my mind  that defeats the purpose of a lightweight  sleeveless top. i returned it and was sorry to have to do that.,Blouses
0,"This shirt is not awful but not anything pretty. there's a reason the main photo has the model with her arms crossed over the waist! it runs good on top and then you get to the body of the garment and it runs straight down yet the pleats even make it manage to expand a little but then you get to the lovely detailed hem which reins them in. so now you are left with a bit of a poof effect making you rounder in all the wrong ways. it's one of those  ""i'm too lazy to send it back it's not that awful",Blouses
0,This top is beautiful to look at but did not fit me like the model. it was tight across the bust but very poofy at the bottom  which normally i like  but not this time. sad.,Blouses
0,This blouse is so cute...casual but still stylish. the problem was that is is a little short for someone with a long torso and it is almost too revealing...the v is so plunging you would have to either pin it our wear a cami. the beads on the ties on the sleeves are also rather heavy and they swing and roll around on your arm...maybe wouldn't bother some but it was a return for me.,Blouses
1,The reviews are accurate that have already been said about the material and size. i usually wear a size 2 and i bought a size 4. it fits perfectly. the blouse is very sheer  but if you wear a neutral colored bra  it should be fine. i like the flow and cut of this blouse,Blouses
1,I bought the black motif  the design lends to a nice pop of color.  the venting detail on the back is beautiful  but probably not as obvious on the black.  maeve is one of my favorite retailer designers.  i'm usually between a s/m or 6/8 in blouses.  i followed advice from other reviewers and got the 8- for room in the arms.  the blouse is very billowy- much more than in the photos  but i'm wearing it with skinny jeans and i love it!,Blouses
